Sum of students_enrolled_courser,Column Labels,,,,
Row Labels,Advanced,Beginner,Intermediate,Mixed,Grand Total
Dynamic Public Speaking,,110000,,,110000
"English for Science, Technology, Engineering, and Mathematics",,110000,,,110000
AWS Fundamentals: Going Cloud-Native,,110000,,,110000
Econometrics: Methods and Applications,,,,110000,110000
Business Statistics and Analysis,,110000,,,110000
Achieving Personal and Professional Success,,110000,,,110000
Data Analysis with Python,,110000,,,110000
Entrepreneurship,,110000,,,110000
Databases and SQL for Data Science,,110000,,,110000
Cloud Computing,,,110000,,110000
"TESOL Certificate, Part 1: Teach English Now!",,100000,,,100000
The Strategy of Content Marketing,,,100000,,100000
Nutrición y obesidad: control de sobrepeso,,100000,,,100000
Moral Foundations of Politics,,,,100000,100000
Strategic Leadership and Management,,100000,,,100000
Financial Engineering and Risk Management Part I,,,,100000,100000
Game Design and Development,,,100000,,100000
Introducción a la programación en Python I: Aprendiendo a programar con Python,,100000,,,100000
Data Analysis and Interpretation,,100000,,,100000
Investment Management,,99000,,,99000
Introduction to Data Analysis Using Excel,,,,99000,99000
Cybersecurity,,,99000,,99000
Human Resource Management: HR for People Managers,,98000,,,98000
Geographic Information Systems  (GIS),,97000,,,97000
Inspired Leadership,,,97000,,97000
"Applied Plotting, Charting & Data Representation in Python",,,97000,,97000
Design and Make Infographics (Project-Centered Course),,,,97000,97000
Data Visualization with Tableau,,96000,,,96000
Negociación exitosa: Estrategias y habilidades esenciales (en español),,,,95000,95000
Developing Your Musicianship,,54000,,41000,95000
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),,,,95000,95000
What is Social?,,,,94000,94000
Agile Development,,94000,,,94000
Marketing Mix Implementation,,93000,,,93000
Google IT Automation with Python,,93000,,,93000
Organizational Leadership,,,92000,,92000
A Law Student's Toolkit,,,,91000,91000
Bayesian Statistics: From Concept to Data Analysis,,,91000,,91000
Terrorism and Counterterrorism: Comparing Theory and Practice,,90000,,,90000
Understanding Einstein: The Special Theory of Relativity,,89000,,,89000
Foundations of Positive Psychology,,89000,,,89000
Front-End Web UI Frameworks and Tools: Bootstrap 4,,,89000,,89000
Business Strategy,,89000,,,89000
Data Science Methodology,,89000,,,89000
Biology Meets Programming: Bioinformatics for Beginners,,88000,,,88000
Introduction to Operations Management,,,,87000,87000
Introduction to User Experience Design,,87000,,,87000
Everyday Parenting: The ABCs of Child Rearing,,86000,,,86000
Fundamentals of GIS,,86000,,,86000
Entrepreneurship 1: Developing the Opportunity,,,,86000,86000
Inspiring and Motivating Individuals,,,,85000,85000
The Business of Music Production,,84000,,,84000
The Global Financial Crisis,,,,84000,84000
People Analytics,,,,84000,84000
Introduction to CSS3,,,,84000,84000
Budgeting and Scheduling Projects,,,,84000,84000
Plant Bioinformatic Methods,,83000,,,83000
Essential Google Cloud Infrastructure: Foundation,,,83000,,83000
Основы программирования на Python,,83000,,,83000
Economics of Money and Banking,,,,83000,83000
Supply Chain Management,,82000,,,82000
Introduction to International Criminal Law,,,,82000,82000
Introduction to Programming in C,,82000,,,82000
"Capstone: Retrieving, Processing, and Visualizing Data with Python",,,,82000,82000
Teach English Now! Foundational Principles,,,,81000,81000
